[REC] ARMED — listening on GPIO6(CMD) + GPIO5(FB). Press microwave START.
[REC] buffer full.
---REC BEGIN---
idx,t_us,chan,level,dt_us
814,541762,C,1,200
815,541979,C,0,217
816,542180,C,0,201
817,542381,C,0,201
818,542582,C,0,201
819,542796,C,0,214
820,543002,C,0,206
821,543208,C,0,206
822,544151,C,0,943
823,544601,C,0,450
824,544983,C,0,382
825,545352,C,0,369
826,545803,C,0,451
827,546003,C,0,200
828,546203,C,1,200
829,546403,C,0,200
830,546828,F,0,425
831,547031,F,0,203
832,547238,F,0,207
833,547439,F,0,201
834,547658,F,1,219
835,547858,F,0,200
836,547932,C,0,74
837,548535,C,1,603
838,548737,C,1,202
839,548952,C,1,215
840,549168,C,1,216
841,549387,C,1,219
842,549597,C,1,210
843,549845,C,1,248
844,550154,F,0,309
845,550354,F,0,200
846,550567,F,1,213
847,550768,F,0,201
848,550968,F,0,200
849,551168,F,1,200
850,551368,F,1,200
851,551569,F,0,201
852,551769,F,0,200
853,551970,F,1,201
854,552174,F,0,204
855,552386,F,1,212
856,553075,F,1,689
857,553276,F,1,201
858,553476,F,0,200
859,553676,F,1,200
860,553887,F,1,211
861,554088,F,0,201
862,554303,F,1,215
863,554504,F,1,201
864,554710,F,1,206
865,554919,F,0,209
866,555119,F,1,200
867,555319,F,0,200
868,555522,F,0,203
869,555722,F,0,200
870,555922,F,0,200
871,556135,F,0,213
872,556336,F,0,201
873,556545,F,1,209
874,556770,F,0,225
875,556947,C,0,177
876,557018,F,0,71
877,557155,C,0,137
878,557223,F,0,68
879,557366,C,0,143
880,557443,F,0,77
881,558240,C,1,797
882,558441,C,1,201
883,558657,C,1,216
884,558875,C,0,218
885,559078,C,0,203
886,559282,C,0,204
887,559482,C,0,200
888,559682,C,0,200
889,559882,C,1,200
890,560088,C,0,206
891,560296,C,0,208
892,560554,C,0,258
893,560810,C,0,256
894,561279,C,0,469
895,562097,C,0,818
896,562412,C,0,315
897,562630,C,0,218
898,562842,C,1,212
899,563043,C,0,201
900,563533,F,0,490
901,563736,F,0,203
902,563936,F,0,200
903,564137,F,0,201
904,564338,F,0,201
905,564553,F,0,215
906,565011,C,1,458
907,565222,C,1,211
908,565423,C,1,201
909,565625,C,1,202
910,565838,C,1,213
911,566555,C,1,717
912,566772,F,0,217
913,566973,F,0,201
914,567184,F,1,211
915,567385,F,0,201
916,567586,F,0,201
917,567787,F,0,201
918,567987,F,1,200
919,568188,F,1,201
920,568392,F,0,204
921,568592,F,0,200
922,568792,F,1,200
923,568995,F,1,203
924,569199,F,1,204
925,569400,F,0,201
926,569649,F,1,249
927,569849,F,1,200
928,570050,F,1,201
929,570250,F,0,200
930,570466,F,1,216
931,570483,C,0,17
932,571151,F,1,668
933,571354,F,1,203
934,571562,F,1,208
935,571766,F,1,204
936,571966,F,0,200
937,572167,F,0,201
938,572368,F,0,201
939,572571,F,0,203
940,572785,F,0,214
941,572986,F,0,201
942,573197,F,1,211
943,573424,F,0,227
944,573634,F,0,210
945,573875,F,0,241
946,574880,C,1,1005
947,575618,C,0,738
948,575832,C,0,214
949,576032,C,0,200
950,576232,C,0,200
951,576437,C,0,205
952,576642,C,0,205
953,576857,C,1,215
954,577068,C,0,211
955,577462,C,0,394
956,577886,C,0,424
957,578089,C,0,203
958,578335,C,0,246
959,578663,C,0,328
960,579031,C,0,368
961,579236,C,0,205
962,579436,C,1,200
963,580069,C,1,633
964,580099,F,0,30
965,580300,F,1,201
966,580500,F,0,200
967,580700,F,0,200
968,580902,F,0,202
969,581119,F,1,217
970,581341,F,0,222
971,581662,C,1,321
972,581873,C,1,211
